co_ano;co_ncm;co_pais;vl_fob
2022;01012100;063;211960
2022;01012100;158;22000
2022;01012100;195;78
2022;01012100;249;3922153
2022;01012100;351;234
2022;01012100;434;8
2022;01012100;476;50
2022;01012100;580;21
2022;01012100;586;42700
2022;01012100;647;711
2022;01012100;845;408203
2022;01012900;023;8
2022;01012900;063;87200
2022;01012900;244;75000
2022;01012900;245;45711
2022;01012900;249;2633385
2022;01012900;301;11512
2022;01012900;386;2000
2022;01012900;434;51
2022;01012900;476;188
2022;01012900;580;495
2022;01012900;586;4200
2022;01012900;741;74
2022;01012900;767;114
2022;01012900;845;1354110
2022;01013000;249;12000
2022;01013000;476;111
2022;01019000;177;41594
2022;01019000;200;22
2022;01019000;249;12
2022;01022110;586;27470
2022;01022110;845;6190
2022;01022190;097;112590
2022;01022190;239;392201
2022;01022190;249;24
2022;01022190;476;580
2022;01022190;586;108539
2022;01022911;097;6809
2022;01022911;177;2685007
2022;01022919;097;307980
2022;01022919;586;6695
2022;01022990;053;23303648
2022;01022990;081;27
2022;01022990;240;15374237
2022;01022990;244;11250866
2022;01022990;249;24
2022;01022990;369;51691813
2022;01022990;403;32974156
2022;01022990;431;11945664
2022;01022990;827;29725305
2022;01023110;476;32
2022;01023919;386;70
2022;01023990;351;32
2022;01023990;538;181
2022;01023990;741;171
2022;01029000;369;9267631
2022;01029000;431;3065739
2022;01031000;097;14000
2022;01031000;580;50
2022;01031000;586;432873
2022;01031000;845;53081
2022;01039100;580;180
2022;01039200;097;168327
2022;01039200;586;959042
2022;01042090;160;18
2022;01042090;351;77
2022;01042090;580;12
2022;01051110;023;68775
2022;01051110;059;293156
2022;01051110;063;18134529
2022;01051110;097;13113384
2022;01051110;158;5497631
2022;01051110;169;17038228
2022;01051110;239;10276402
2022;01051110;240;348760
2022;01051110;245;150010
2022;01051110;253;995660
2022;01051110;399;100115
2022;01051110;455;953772
2022;01051110;573;140448
2022;01051110;586;2371538
2022;01051110;589;16714462
2022;01051110;647;761474
2022;01051110;728;66816
2022;01051110;750;198483
2022;01051110;756;26727
2022;01051110;827;345439
2022;01051110;833;96690
2022;01051110;845;1078800
2022;01051110;850;6054201
2022;01051190;083;4
2022;01051190;163;4
2022;01051190;169;81634
2022;01051190;239;239520
2022;01051190;293;12
2022;01051190;434;4
2022;01051190;455;854
2022;01051190;476;13
2022;01051190;580;26
2022;01051190;586;6291775
2022;01051190;741;128
2022;01051300;476;33
2022;01051300;580;153
2022;01051400;077;33
2022;01061300;351;29
2022;01061900;149;7160
2022;01061900;169;1000
2022;01061900;239;2000
2022;01061900;249;3451
2022;01061900;365;1087
2022;01061900;455;591
2022;01061900;580;2000
2022;01061900;589;588
2022;01061900;607;553
2022;01061900;628;1037
2022;01061900;776;500
2022;01061900;845;10800
2022;01062000;160;51705
2022;01062000;161;43588
2022;01062000;195;20
2022;01062000;351;15494
2022;01063100;160;3
2022;01063100;351;10
2022;01063100;434;6
2022;01063100;476;31
2022;01063100;580;13
2022;01063100;607;16
2022;01063100;741;3
2022;01063200;386;9930
2022;01063200;756;27693
2022;01063390;741;450
2022;01063900;158;217
2022;01063900;249;47614
2022;01063900;434;221
2022;01064100;195;144
2022;01064100;351;5
2022;01064100;434;3
2022;01064100;476;45
2022;01064100;538;27
2022;01064100;580;81
2022;01064100;741;14
2022;01064900;163;27
2022;01064900;239;555
2022;01064900;249;15
2022;01064900;351;152
2022;01064900;434;2088
2022;01064900;467;29
2022;01064900;476;223
2022;01064900;538;41
2022;01064900;580;104
2022;01064900;741;207
2022;01069000;040;1557
2022;01069000;149;258
2022;01069000;580;464
2022;01069000;607;38
2022;02011000;163;170
2022;02011000;301;459
2022;02011000;351;1216
2022;02011000;399;251
2022;02011000;434;2690
2022;02011000;476;309
2022;02011000;538;30
2022;02011000;580;454
2022;02011000;741;303
2022;02012010;077;683
2022;02012010;137;182
2022;02012010;160;3536
2022;02012010;163;484
2022;02012010;190;1084
2022;02012010;195;385
2022;02012010;267;926
2022;02012010;351;6922
2022;02012010;399;1990
2022;02012010;434;9185
2022;02012010;467;113
2022;02012010;476;11543
2022;02012010;573;568
2022;02012010;580;11118
2022;02012010;607;174
2022;02012010;705;173
2022;02012010;741;627
2022;02012020;043;71
2022;02012020;160;395
2022;02012020;163;556
2022;02012020;301;765
2022;02012020;351;4024
2022;02012020;399;944
2022;02012020;434;2548
2022;02012020;467;80
2022;02012020;476;8006
2022;02012020;538;119
2022;02012020;580;2446
2022;02012020;628;407
2022;02012020;741;421
2022;02012020;776;181
2022;02012090;053;52
2022;02012090;077;1511
2022;02012090;080;106
2022;02012090;088;1086
2022;02012090;105;3349
2022;02012090;160;2786
2022;02012090;163;1645
2022;02012090;190;431
2022;02012090;232;90
2022;02012090;240;109223
2022;02012090;245;117
2022;02012090;267;145
2022;02012090;275;126
2022;02012090;293;398
2022;02012090;301;4272
2022;02012090;351;11869
2022;02012090;359;77
2022;02012090;386;260
2022;02012090;399;1207
2022;02012090;434;6909
2022;02012090;467;1590
2022;02012090;476;11167
2022;02012090;538;788
2022;02012090;573;1250
2022;02012090;580;19169
2022;02012090;607;145
2022;02012090;628;2151
2022;02012090;741;2605
2022;02012090;767;228
2022;02012090;827;719
2022;02012090;845;1023
2022;02012090;858;539
2022;02013000;023;29576444
2022;02013000;040;11822
2022;02013000;043;4775
2022;02013000;053;67369457
2022;02013000;063;417736
2022;02013000;065;2723898
2022;02013000;077;27359
2022;02013000;080;1527057
2022;02013000;083;7033
2022;02013000;087;119882
2022;02013000;088;961
2022;02013000;090;260
2022;02013000;105;8612
2022;02013000;137;6735
2022;02013000;149;141
2022;02013000;154;13590885
2022;02013000;158;293932377
2022;02013000;160;327757
2022;02013000;161;719
2022;02013000;163;34817
2022;02013000;183;152
2022;02013000;190;733
2022;02013000;195;7624
2022;02013000;198;827429
2022;02013000;200;3959191
2022;02013000;232;3602
2022;02013000;239;1470
2022;02013000;240;510119
2022;02013000;244;64560958
2022;02013000;245;31058730
2022;02013000;249;3110680
2022;02013000;255;525
2022;02013000;267;617583
2022;02013000;271;832223
2022;02013000;275;971
2022;02013000;281;147
2022;02013000;293;3488
2022;02013000;301;60706
2022;02013000;351;233516
2022;02013000;359;1925
2022;02013000;361;1781
2022;02013000;383;53301707
2022;02013000;386;11167782
2022;02013000;399;5260
2022;02013000;403;26037695
2022;02013000;431;20797631
2022;02013000;434;125661
2022;02013000;445;2776
2022;02013000;455;1733
2022;02013000;467;26141
2022;02013000;476;136980
2022;02013000;493;540
2022;02013000;538;37622
2022;02013000;551;503
2022;02013000;556;1097748
2022;02013000;573;89792047
2022;02013000;578;81885
2022;02013000;580;195025
2022;02013000;586;422034
2022;02013000;589;5069952
2022;02013000;607;4410471
2022;02013000;611;722818
2022;02013000;628;19039479
2022;02013000;676;843
2022;02013000;705;1364
2022;02013000;735;60
2022;02013000;741;977549
2022;02013000;764;10474069
2022;02013000;767;4733936
2022;02013000;776;5377
2022;02013000;827;5324
2022;02013000;845;103543474
2022;02013000;858;3294
2022;02021000;043;31
2022;02021000;077;135
2022;02021000;163;62
2022;02021000;232;135
2022;02021000;244;25
2022;02021000;301;260
2022;02021000;351;190
2022;02021000;434;745
2022;02021000;467;39
2022;02021000;476;953
2022;02021000;538;51
2022;02021000;580;711
2022;02021000;741;157
2022;02022010;043;1551
2022;02022010;053;199
2022;02022010;077;1477
2022;02022010;080;1340
2022;02022010;087;163
2022;02022010;090;811
2022;02022010;137;124
2022;02022010;160;1135
2022;02022010;163;1403
2022;02022010;190;63
2022;02022010;232;809
2022;02022010;245;773
2022;02022010;249;190
2022;02022010;293;261
2022;02022010;301;1228
2022;02022010;351;395464
2022;02022010;386;396
2022;02022010;399;131
2022;02022010;434;16397
2022;02022010;467;1945
2022;02022010;474;112444
2022;02022010;476;21331
2022;02022010;538;2928
2022;02022010;580;8189
2022;02022010;607;1269
2022;02022010;628;623
2022;02022010;728;689
2022;02022010;741;4431
2022;02022010;764;155
2022;02022010;767;127
2022;02022010;827;386
2022;02022020;023;358
