co_pais;co_pais_isoa3;no_pais;no_pais_ing;no_pais_esp
000;ZZZ;Não Definido;Not defined;No definido
013;AFG;Afeganistão;Afghanistan;Afganistan
015;ALA;Aland, Ilhas;Aland Islands;Alans, Islas
017;ALB;Albânia;Albania;Albania
020;ESP;Alboran-Perejil, Ilhas;Alboran-Perejil, Islands;Alboran-Perejil, Islas
023;DEU;Alemanha;Germany;Alemania
025;DEU;Alemanha Oriental;East Germany;Alemania del Este
031;BFA;Burkina Faso;Burkina Faso;Burkina Faso
037;AND;Andorra;Andorra;Andorra
040;AGO;Angola;Angola;Angola
041;AIA;Anguilla;Anguilla;Anguilla
042;ATA;Antártica;Antarctica;Antártida
043;ATG;Antígua e Barbuda;Antigua and Barbuda;Antigua y Barbuda
047;ANT;Antilhas Holandesas;Netherlands Antilles;Antillas Holandesas
053;SAU;Arábia Saudita;Saudi Arabia;Arabia Saudita
059;DZA;Argélia;Algeria;Argelia
063;ARG;Argentina;Argentina;Argentina
064;ARM;Armênia;Armenia;Armenia
065;ABW;Aruba;Aruba;Aruba
069;AUS;Austrália;Australia;Australia
072;AUT;Áustria;Austria;Austria
073;AZE;Azerbaijão;Azerbaijan;Acerbaiyan
077;BHS;Bahamas;Bahamas;Bahamas
080;BHR;Barein;Bahrein;Bahrein
081;BGD;Bangladesh;Bangladesh;Bangladesh
083;BRB;Barbados;Barbados;Barbados
085;BLR;Belarus;Belarus;Belarús
087;BEL;Bélgica;Belgium;Bélgica
088;BLZ;Belize;Belize;Belice
090;BMU;Bermudas;Bermuda;Bermuda
093;MMR;Mianmar;Myanmar;Myanmar
097;BOL;Bolívia;Bolivia;Bolivia
098;BIH;Bósnia-Herzegovina;Bosnia and Herzegovina;Bosnia y Herzegovina
099;BES;Bonaire, Saint Eustatius e Saba;Bonaire, Saint Eustatius and Saba;Bonaire, Saint Eustatius y Saba
100;BRA;Internação na Zona Franca de Manaus;Internment in the Manaus Free Trade Zone;Internamiento de la Zona Franca de Manaus
101;BWA;Botsuana;Botswana;Botswana
102;BVT;Bouvet, Ilha;Bouvet Island;Bouvet, Isla
105;BRA;Brasil;Brazil;Brasil
108;BRN;Brunei;Brunei;Brunei
111;BGR;Bulgária;Bulgaria;Bulgaria
115;BDI;Burundi;Burundi;Burundi
119;BTN;Butão;Bhutan;Bhután
127;CPV;Cabo Verde;Cape Verde;Cabo Verde
137;CYM;Cayman, Ilhas;Cayman Islands;Caimán, Islas
141;KHM;Camboja;Cambodia;Camboya
145;CMR;Camarões;Cameroon;Camerún
149;CAN;Canadá;Canada;Canadá
